slug;quelldatei;sha256;seiten;woerter;tabellen;wortdeckung_prozent;woertlich;ocr;befund;status
02-tisax-participant-price-list-de;02-TISAX-Participant-Price-List-DE.pdf;69551c8fe720db5b42a8201f839e58bd5ac68d0468d52b942ddad99bd9603496;2;555;4;100.0;True;False;vollstaendig;ok
800-218-deltas-from-draft-to-final;800-218-deltas-from-draft-to-final.docx;517d0db2b62df0b6a6b24004fe6dfb0c8a26bd1713178efd799beb8b69781c17;0;13398;3;99.956;True;False;Rest woertlich angehaengt;warn
800-218-deltas-from-wp-to-final;800-218-deltas-from-wp-to-final.docx;4f4a2aa689ed2c0f5a6cf6e718b773e980b066327dfa524c8198e92f61ef7a6c;0;11352;1;99.923;True;False;Rest woertlich angehaengt;warn
870613494-iso-42005-1748855681;870613494-ISO-42005-1748855681.pdf;1ac56220d521e75655008976bb9adff70a104472af086ceb83d4045a8ed1e9cc;12;4311;2;100.0;True;False;vollstaendig;warn
a01-sicherheitsleitlinie;A01_Sicherheitsleitlinie.pdf;c3fc8e24daa03ac41e17d6f2dbbb709076f99d0fa3fdd1b572b793ea60b8ad8a;12;1558;4;100.0;True;False;vollstaendig;ok
a02-richtlinie-risikoanalyse;A02_Richtlinie_Risikoanalyse.pdf;5bba2a025bc18f5400cc7b07f82fd6ee9544e3731ee5a1bc43b45ab440667783;9;939;5;100.0;True;False;vollstaendig;ok
a03-richtlinie-lenkung-dokumenten-und-aufzeichnungen;A03_Richtlinie_Lenkung_Dokumenten_und_Aufzeichnungen.pdf;d19cb7c318815fdc8e94cd203e31efa13ecda9c4fb8a77c1c5f1485b7d524029;8;807;5;100.0;True;False;vollstaendig;warn
a04-richtlinie-internen-isms-auditierung;A04_Richtlinie_internen_ISMS_Auditierung.pdf;ba3ce803bfaebe072057203c9a87847fd936ff97c7ab7848c01ea2e50d9908a1;7;551;4;100.0;True;False;vollstaendig;ok
a05-richtlinie-lenkung-korrektur-vorbeugungsm;A05_Richtlinie_Lenkung_Korrektur_Vorbeugungsm.pdf;372296d9f1392e8b2804bda57404a04c7e7965ed5f6c30bf18fe6e3530bc7b51;7;618;4;100.0;True;False;vollstaendig;warn
a1-strukturanalyse-abhaengigkeiten-recplast-gmbh;A1_Strukturanalyse-Abhaengigkeiten_RECPLAST_GmbH.xlsx;de1abb5e0488905d456c1976191786ef4fd59730e2e25f3b1553f0b87f4214e4;1;42719;1;100.0;True;False;vollstaendig;ok
a1-strukturanalyse-recplast-gmbh;A1_Strukturanalyse_RECPLAST_GmbH.xlsx;ea5e07f0e737c82d9e2dfa5e1b81a11f37dfff09019c7dfe73b90d240fd1be8e;1;23709;1;100.0;True;False;vollstaendig;ok
a11-abgrenzung-des-informationsverbunds;A11_Abgrenzung_des_Informationsverbunds.pdf;54ef8147b025514119db29fcb936edc9331a8ec847368725806d7a038d6e2be8;9;904;5;100.0;True;False;vollstaendig;warn
a18-liste-der-dienstleister;A18-Liste-der-Dienstleister.xlsx;d1e26e3ab66eaf634aceed8c0d309e176b6fe608e276ae20170e9b045a0d195a;1;112;1;100.0;True;False;vollstaendig;ok
a21-definition-schutzbedarfskategorien;A21_Definition_Schutzbedarfskategorien.pdf;edd0d73e31ff3c919d40f18d8d871ccc5c459f6dcab34b6c47c171427eda989c;8;581;9;100.0;True;False;vollstaendig;warn
a3-modellierung-recplast-gmbh;A3_Modellierung_Recplast_GmbH.xlsx;174c02566e9bed2a54d8d4cbd61b9d15a1c891e7e86b947a8078d9cc8d202012;1;118030;1;100.0;True;False;vollstaendig;ok
am;AM.yml;ebd48e61fb89177a2603ab202d30054acd82465186d6e605d95f88db0db57cc4;0;3893;0;100.0;True;False;vollstaendig;warn
anlagen-1787848763940;Anlagen-1787848763940.pdf;7d42db6051a26da42b4b7af0d8194d793f18ddea44dedb14defd3043b7fb0e4f;11;2573;5;100.0;True;False;vollstaendig;warn
anlagen-2511-20920v1;Anlagen-2511-20920v1.pdf;43fed3673874653a96f254cfd35fb14ba871f95d16bf813b582edb16145468ce;17;13210;2;100.0;True;False;vollstaendig;warn
anlagen-enisa-cra-srp-factsheet-v1-0-0;Anlagen-ENISA_CRA_SRP_Factsheet_v1.0_0.pdf;159b1b849008aa39ca6ad5229287eedde8b3c2f3a7c28baa91dccd4ff55c3546;2;661;0;100.0;True;False;vollstaendig;warn
anlagen-nist-ir-8613-ipd;Anlagen-NIST.IR.8613.ipd.pdf;e0ec57bc76726e310fa54a2ee09d214e6b2f07b5e4cd9a174405d0404e0c9d3a;79;22286;41;100.0;True;False;vollstaendig;warn
app-1-1-office-produkte-pdf-clean;APP.1.1-Office-Produkte.pdf.clean.pdf;795941cfceac9027a937e61d9c06d49f1b6ebb22cac30dbf60d2b6a0b8c23930;5;1799;1;100.0;True;False;vollstaendig;ok
app-1-2-webbrowser-pdf-clean;APP.1.2-Webbrowser.pdf.clean.pdf;16ce7b05ea4642b3de781b621248a67fc17d778c390b5707e6e5e6d314d66fd5;6;1890;1;100.0;True;False;vollstaendig;ok
app-1-4-mobile-anwendungen-apps-pdf-clean;APP.1.4-Mobile-Anwendungen-Apps-.pdf.clean.pdf;73119e8cd7b7fee67805d43ec684518e5990edbbff8ba6587bebdfb2ad450aca;6;2023;1;100.0;True;False;vollstaendig;ok
app-2-1-allgemeiner-verzeichnisdienst-pdf-clean;APP.2.1-Allgemeiner-Verzeichnisdienst.pdf.clean.pdf;8b042fa96250ceb7cab48213cc8ea1f570986c66ea656072a52393829cc5ee07;7;2385;1;100.0;True;False;vollstaendig;ok
app-2-2-active-directory-domain-services-pdf-clean;APP.2.2-Active-Directory-Domain-Services.pdf.clean.pdf;f63944ba1c201db15662d7dcaa2ff745dd4667bbd7f313e0d183431cfbd7cedf;9;3665;1;100.0;True;False;vollstaendig;ok
app-2-3-openldap-pdf-clean;APP.2.3-OpenLDAP.pdf.clean.pdf;f8ef7d9de3102eea1462e7e147f2e8a105817235b70d3fb334462fb596187d4d;5;1543;1;100.0;True;False;vollstaendig;ok
app-3-1-webanwendungen-und-webservices-pdf-clean;APP.3.1-Webanwendungen-und-Webservices.pdf.clean.pdf;261ded73f63e34e92a16ddaa9f471c5c142784a0cfee4b6e8d259d1597993ae7;6;1799;1;100.0;True;False;vollstaendig;ok
app-3-2-webserver-pdf-clean;APP.3.2-Webserver.pdf.clean.pdf;9a57d65bcac32fe32b96c513734dee5485984f543eac1163627fd3d977357916;6;2056;1;100.0;True;False;vollstaendig;ok
app-3-3-fileserver-pdf-clean;APP.3.3-Fileserver.pdf.clean.pdf;010e53f2345e2a8f592a25700f16dff78c5ee24b08942d8deacdda5aa856255a;6;1928;1;100.0;True;False;vollstaendig;ok
app-3-4-samba-pdf-clean;APP.3.4-Samba.pdf.clean.pdf;05aeeeaf7665d611cc85c27b4b90937d5c260118ed372249a2b8c9a29a5145a7;6;1868;1;100.0;True;False;vollstaendig;ok
app-3-6-dns-server-pdf-clean;APP.3.6-DNS-Server.pdf.clean.pdf;77f46be5c2c9c60fff3f1227df971bcc482b93057e3f199f77765bfdf5e4003a;7;2709;1;100.0;True;False;vollstaendig;ok
app-4-2-sap-erp-system-pdf-clean;APP.4.2-SAP-ERP-System.pdf.clean.pdf;d98e3d59b2f492c542637874dcd1ebcbe4bfd7a2f0f057117d19c6da98df498f;9;3283;1;100.0;True;False;vollstaendig;ok
app-4-3-relationale-datenbanken-pdf-clean;APP.4.3-Relationale-Datenbanken.pdf.clean.pdf;10f35037ea82741f348f05c23667dc0e6694c56a6efbeca3940501bc335b8693;7;2428;1;100.0;True;False;vollstaendig;ok
app-4-4-kubernetes-pdf-clean;APP.4.4-Kubernetes.pdf.clean.pdf;03c63c58909476e20e3ec4da5e2b8be4beb03cf55c7a708bf11854c8f2a6be44;8;2856;1;100.0;True;False;vollstaendig;ok
